Thick_LiMnO2_0p6mm_p
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
13.3	1928.0	1828.0
13.31	1890.0	1828.9
13.32	1885.0	1829.7
13.33	1870.0	1830.5
13.34	1831.0	1831.3
13.35	1847.0	1832.1
13.36	1848.0	1833.0
13.37	1820.0	1833.8
13.38	1861.0	1834.6
13.39	1854.0	1835.4
13.4	1838.0	1836.2
13.41	1841.0	1837.0
13.42	1871.0	1837.8
13.43	1912.0	1838.6
13.44	1901.0	1839.4
13.45	1913.0	1840.3
13.46	1898.0	1841.1
13.47	1897.0	1841.9
13.48	1890.0	1842.7
13.49	1934.0	1843.5
13.5	1932.0	1844.3
13.51	1931.0	1845.1
13.52	1882.0	1845.8
13.53	1905.0	1846.6
13.54	1939.0	1847.4
13.55	1967.0	1848.2
13.56	1959.0	1849.0
13.57	1927.0	1849.8
13.58	1948.0	1850.6
13.59	1907.0	1851.4
13.6	1870.0	1852.2
13.61	1913.0	1852.9
13.62	1941.0	1853.7
13.63	1907.0	1854.5
13.64	1917.0	1855.3
13.65	1929.0	1856.1
13.66	1922.0	1856.8
13.67	1926.0	1857.6
13.68	1939.0	1858.4
13.69	1946.0	1859.2
13.7	1915.0	1859.9
13.71	1932.0	1860.7
13.72	1913.0	1861.5
13.73	1951.0	1862.2
13.74	1948.0	1863.0
13.75	1935.0	1863.8
13.76	1924.0	1864.5
13.77	1974.0	1865.3
13.78	1956.0	1866.1
13.79	1938.0	1866.8
13.8	1934.0	1867.6
13.81	1957.0	1868.3
13.82	1940.0	1869.1
13.83	1916.0	1869.8
13.84	1948.0	1870.6
13.85	1953.0	1871.3
13.86	1918.0	1872.1
13.87	1936.0	1872.8
13.88	1947.0	1873.6
13.89	1925.0	1874.3
13.9	1963.0	1875.1
13.91	1954.0	1875.8
13.92	1931.0	1876.6
13.93	1945.0	1877.3
13.94	1971.0	1878.0
13.95	1969.0	1878.8
13.96	1966.0	1879.5
13.97	1962.0	1880.2
13.98	1948.0	1881.0
13.99	1975.0	1881.7
14.0	1995.0	1882.4
14.01	1979.0	1883.2
14.02	1975.0	1883.9
14.03	1982.0	1884.6
14.04	1908.0	1885.3
14.05	1899.0	1886.1
14.06	1971.0	1886.8
14.07	1998.0	1887.5
14.08	1978.0	1888.2
14.09	1995.0	1888.9
14.1	1997.0	1889.6
14.11	2018.0	1890.4
14.12	1981.0	1891.1
14.13	1979.0	1891.8
14.14	1977.0	1892.5
14.15	1986.0	1893.2
14.16	1980.0	1893.9
14.17	1964.0	1894.6
14.18	2024.0	1895.3
14.19	2013.0	1896.0
14.2	1990.0	1896.7
14.21	2003.0	1897.4
14.22	1988.0	1898.1
14.23	1949.0	1898.8
14.24	1951.0	1899.5
14.25	1966.0	1900.2
14.26	1928.0	1900.9
14.27	1932.0	1901.6
14.28	1963.0	1902.3
14.29	1955.0	1903.0
14.3	1939.0	1903.7
14.31	1969.0	1904.3
14.32	1974.0	1905.0
14.33	1997.0	1905.7
14.34	1986.0	1906.4
14.35	1972.0	1907.1
14.36	1998.0	1907.7
14.37	1999.0	1908.4
14.38	1977.0	1909.1
14.39	2011.0	1909.8
14.4	2002.0	1910.4
14.41	1994.0	1911.1
14.42	2028.0	1911.8
